編號,車位類別,車位價格,車位面積平方公尺
RPTOMLOLNHMFFGL07CA,坡道機械,0,13.22
RPOOMLQJOHMFFGL66CA,坡道平面,1000000,20.76
RPXNMLMLNHMFFAB38EA,坡道機械,0,
RPWNMLPKOHMFFBB58DA,坡道平面,0,
RPVOMLOLNHMFFBB48DA,坡道平面,0,34.71
RPPNMLPLNHMFFIL86CA,坡道平面,0,
RPVQMLPJOHMFFGL47CA,坡道平面,0,27.22
RPUOMLNJOHMFFGL96CA,坡道平面,0,31.89
RPQOMLOLNHMFFGL76CA,坡道平面,0,26.51
RPSOMLOLNHMFFGL96CA,坡道平面,1150000,29.34
RPSOMLOLNHMFFGL96CA,坡道平面,1150000,29.34
RPUNMLLMNHMFFGL86CA,坡道機械,0,9.59
RPQNMLPKOHMFFFL66CA,坡道平面,1300000,29.61
RPRNMLPKOHMFFFL76CA,坡道機械,0,
RPPOMLOKOHMFFFL56CA,坡道平面,1300000,29.61
RPQOMLOKOHMFFFL66CA,坡道平面,1300000,29.61
RPSOMLOKOHMFFFL86CA,坡道平面,1300000,29.61
RPUOMLOKOHMFFFL07CA,坡道平面,1400000,29.61
RPVOMLOKOHMFFFL17CA,坡道平面,1300000,29.61
RPWOMLOKOHMFFFL27CA,坡道平面,1200000,29.61
RPXOMLOKOHMFFFL37CA,坡道平面,1400000,29.61
RPOPMLOKOHMFFFL56CA,坡道平面,1200000,29.61
RPPPMLOKOHMFFFL66CA,坡道平面,1300000,29.61
RPQPMLOKOHMFFFL76CA,坡道平面,1300000,29.61
RPRPMLOKOHMFFFL86CA,坡道平面,1350000,29.61
RPSPMLOKOHMFFFL96CA,坡道平面,1200000,29.61
RPTPMLOKOHMFFFL07CA,坡道平面,1200000,29.61
RPUPMLOKOHMFFFL17CA,坡道平面,1300000,29.61
RPVPMLOKOHMFFFL27CA,坡道平面,1300000,29.61
RPQOMLPKOHMFFFL76CA,坡道平面,1200000,29.61
RPSOMLPKOHMFFFL96CA,坡道平面,1300000,29.61
RPTOMLPKOHMFFFL07CA,坡道平面,1200000,29.61
RPUOMLPKOHMFFFL17CA,坡道平面,1300000,29.61
RPVOMLPKOHMFFFL27CA,坡道平面,1250000,29.61
RPWOMLPKOHMFFFL37CA,坡道平面,1250000,29.61
RPXOMLPKOHMFFFL47CA,坡道平面,1200000,29.61
RPOPMLPKOHMFFFL66CA,坡道平面,1200000,29.61
RPPPMLPKOHMFFFL76CA,坡道平面,1400000,29.61
RPRPMLPKOHMFFFL96CA,坡道平面,1300000,29.61
RPSPMLPKOHMFFFL07CA,坡道平面,1200000,29.61
RPTPMLPKOHMFFFL17CA,坡道平面,1300000,29.61
RPUPMLPKOHMFFFL27CA,坡道平面,1300000,29.61
RPVPMLPKOHMFFFL37CA,坡道平面,1300000,29.61
RPSNMLQKOHMFFFL96CA,坡道平面,1300000,29.61
RPUNMLMLNHMFFFL76CA,坡道平面,0,
RPSOMLOLNHMFFFL86CA,坡道機械,0,
RPTPMLMKOHMFFCL56CA,坡道平面,0,
RPOOMLQJOHMFFCL88CA,坡道平面,0,23.82
RPTOMLMLNHMFFCL09CA,坡道平面,0,
RPPNMLPJOHMFFBL68CA,坡道平面,0,
RPPNMLQJOHMFFBL78CA,一樓平面,0,
RPTOMLTKNHMFFBB58CA,升降機械,0,
RPRQMLTKNHMFFBB58CA,坡道平面,0,
RPQPMLMLNHMFFBB77CA,坡道平面,1150000,36.02
RPRNMLOLNHMFFBB87CA,坡道平面,1000000,27.77
RPUOMLOLNHMFFBB28CA,坡道平面,0,30.25
RPUNMLPLNHMFFBB28CA,坡道平面,800000,
RPROMLMKOHMFFAB67CA,坡道機械,700000,8.80
RPQNMLOKOHMFFAB67CA,坡道平面,0,25.05
RPOPMLSJOHMFFAB97CA,坡道平面,0,26.48
RPVOMLNJOHMFFAB08CA,坡道平面,0,22.28
RPVNMLKMNHMFFAB87CA,坡道機械,0,
RPTPMLOLNHMFFAB18CA,坡道平面,0,
