編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPOMLMLNHMFFDE28CC,大港段,9.31,都市：商
RPRPMLMLNHMFFDE58CC,獅頭段一小段,25.09,都市：住
RPTNMLMLNHMFFBE38CC,正言段,29.07,都市：商
RPUNMLMLNHMFFBE48CC,意誠段,.00,都市：商
RPXNMLMLNHMFFBE78CC,過田子段,19.16,都市：住
RPPPMLNLNHMFFDE48CC,大港段七小段,66.00,都市：商
RPPPMLNLNHMFFDE48CC,大港段七小段,12.00,都市：商
RPQPMLNLNHMFFDE58CC,大港段四小段,12.40,都市：住
RPQOMLNLNHMFFAE18CC,文東段,27.60,都市：商
RPQOMLNLNHMFFAE18CC,文東段,1.80,都市：商
RPOPMLNLNHMFFGE68CC,曹公段,332.66,都市：工
RPRPMLNLNHMFFGE98CC,新溪埔段,3348.61,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNLNHMFFEE09CC,新庄段十二小段,13.45,都市：住
RPSPMLNLNHMFFEE88CC,藍田中段,195.04,都市：住
RPUPMLNLNHMFFEE09CC,藍田中段,380.17,都市：住
RPVPMLNLNHMFFEE56CC,新庄段七小段,13.41,都市：住
RPWPMLNLNHMFFEE66CC,新庄段七小段,16.81,都市：住
RPOQMLNLNHMFFEE58CC,新博段,19.06,都市：住
RPPNMLNLNHMFFIE78CC,大安段,164.00,都市：住
RPRNMLNLNHMFFIE98CC,大安段,163.00,都市：住
RPVNMLNLNHMFFIE76CC,大安段,340.00,都市：住
RPPOMLNLNHMFFIE88CC,大安段,187.00,都市：住
RPOQMLOLNHMFFIE09CC,仁雄段,193.01,都市：住
RPOQMLOLNHMFFIE09CC,仁雄段,237.43,都市：住
RPOQMLOLNHMFFIE09CC,仁雄段,237.57,都市：住
RPPQMLOLNHMFFIE56CC,仁雄段,196.24,都市：住
RPPQMLOLNHMFFIE56CC,仁雄段,192.94,都市：住
RPPQMLOLNHMFFIE56CC,仁雄段,192.83,都市：住
RPVNMLOLNHMFFCE88CC,憲德段一小段,.00,非都市： ; 非都市編定：
RPTNMLOLNHMFFAE48CC,龍華段八小段,.00,都市：商
RPUNMLOLNHMFFAE58CC,龍華段八小段,.00,都市：商
RPPOMLOLNHMFFAE18CC,青海段,13.24,都市：商
RPRNMLOLNHMFFDE58CC,獅頭段,.00,都市：商
RPTOMLOLNHMFFDE88CC,灣復段,109.08,都市：商
RPXNMLOLNHMFFBE98CC,新興段三小段,.00,非都市： ; 非都市編定：
RPSOMLOLNHMFFBE58CC,意誠段,.00,都市：商
RPWOMLOLNHMFFBE98CC,五塊厝段,8.71,都市：商
RPRNMLPLNHMFFBE48CC,過田子段,77.62,都市：商
RPUNMLPLNHMFFBE78CC,五塊厝段,5.57,非都市： ; 非都市編定：
RPXNMLPLNHMFFBE09CC,林德官段,32.68,非都市： ; 非都市編定：
RPSNMLPLNHMFFAE48CC,北金段,.00,非都市： ; 非都市編定：
RPQOMLPLNHMFFAE38CC,龍中段,99.85,都市：住
RPUOMLPLNHMFFAE78CC,青海段,14.26,都市：住
RPQPMLPLNHMFFAE48CC,前金段,.00,都市：商
RPTNMLPLNHMFFCE78CC,愛群段,.00,非都市： ; 非都市編定：
RPXNMLPLNHMFFCE56CC,高松段,26.50,都市：住
RPQOMLPLNHMFFCE58CC,獅甲段,.97,都市：住
RPSOMLPLNHMFFJE86CC,文南段,104.72,都市：住
RPTNMLQLNHMFFCE88CC,瑞隆段二小段,.00,都市：商
RPTNMLQLNHMFFCE88CC,瑞隆段二小段,.00,都市：商
RPTOMLQLNHMFFEE56CC,新庄段七小段,177.00,都市：住
RPQRMLQLNHMFFEE56CC,新庄段十三小段,7.05,都市：商
RPWNMLQLNHMFFAE98CC,龍華段八小段,12.50,都市：商
RPXNMLQLNHMFFAE09CC,龍中段,23.79,都市：住
RPQOMLQLNHMFFAE48CC,青海段,21.26,都市：住
RPSOMLQLNHMFFAE68CC,龍中段,13.54,都市：商
RPTOMLQLNHMFFAE78CC,青海段,23.01,都市：商
RPOPMLQLNHMFFAE38CC,青海段,23.16,都市：商
RPPOMLQLNHMFFDE68CC,建安段,73.00,都市：商
RPQOMLQLNHMFFDE78CC,大港段三小段,67.00,都市：商
RPUOMLQLNHMFFDE56CC,大港段四小段,21.66,都市：商
RPWOMLQLNHMFFDE76CC,三塊厝段四小段,6.59,都市：住
RPUNMLQLNHMFFBE88CC,新興段一小段,81.00,都市：商
RPXNMLQLNHMFFBE56CC,意誠段,.00,都市：商
RPROMLQLNHMFFBE68CC,過田子段,64.00,都市：住
RPXOMLQLNHMFFBE66CC,新興段一小段,10.79,都市：商
RPOPMLQLNHMFFBE48CC,成功段,5.19,都市：商
RPQNMLRLNHMFFBE58CC,林德官段,.00,都市：商
RPRNMLRLNHMFFBE68CC,意誠段,.00,都市：商
RPWNMLRLNHMFFDE76CC,灣華段,29.48,都市：住
RPRNMLRLNHMFFAE58CC,文東段,.00,都市：商
RPQNMLRLNHMFFEE88CC,福山段,25.74,都市：商
