鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東碇路301~330號,33.18,住,,,1021118,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),,,,228.68,3,1,2,有,有,無,11000,48,升降機械,53.26,0,,RPRNMLKKKIIFFCC27DC
安樂區,房地(土地+建物),基隆市安樂區麥金路121~150號,11.96,住,,,1060508,土地8建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,102.96,3,2,2,有,有,有,13000,126,,0.0,0,,RPUNMLQKNHMFFCC68CC
中正區,建物,基隆市中正區觀海街91~120號,0.0,住,,,1060526,土地0建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,130.32,4,2,2,有,有,有,15000,115,,0.0,0,,RPPNMLSLNHMFFBC38CC
中正區,建物,基隆市中正區新豐街301~330號,0.0,住,,,1060531,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,140.29,5,1,2,有,有,有,18000,128,,0.0,0,,RPSOMLLMNHMFFBC18CC
七堵區,房地(土地+建物)+車位,基隆市七堵區實踐路181~210號,52.11,住,,,1060518,土地1建物1車位1,一層,11,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010615,195.7,0,0,0,無,有,無,37000,189,坡道平面,34.25,0,租金含車位.管理費.清潔費,RPTNMLLMNHMFFCC28CC
