編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLSJOHMFFCC88CA,22,43.13,共用部份,鋼筋混凝土造,84年5月4日,十七層,
RPQOMLNKOHMFFCC97CA,25,163.72,住家用,鋼筋混凝土造,81年5月28日,五層,二層 三層
RPQOMLNKOHMFFCC97CA,25,20.42,共用部份,鋼筋混凝土造,81年5月28日,五層,
RPSNMLMKOHMFFCC97CA,9,104.58,住家用,鋼筋混凝土造,97年5月6日,七層,六層
RPSNMLMKOHMFFCC97CA,9,15.57,共用部份,鋼筋混凝土造,97年5月6日,七層,
RPSNMLMKOHMFFCC97CA,9,41.69,共用部份,鋼筋混凝土造,97年5月6日,七層,
RPXOMLMJOHMFFCC48CA,35,88.60,住家用,鋼筋混凝土造,71年5月24日,四層,三層
RPVNMLOLNHMFFCC48CA,23,97.76,住家用,鋼筋混凝土造,83年9月30日,五層,二層
RPVNMLOLNHMFFCC48CA,23,12.74,共用部份,鋼筋混凝土造,83年9月30日,五層,
RPPNMLPLNHMFFCC97CA,47,77.00,住家用,加強磚造,59年11月3日,二層,一層 二層
RPWNMLPLNHMFFCC68CA,1,194.04,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,二十一層
RPWNMLPLNHMFFCC68CA,1,.04,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPWNMLPLNHMFFCC68CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPWNMLPLNHMFFCC68CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPWNMLPLNHMFFCC68CA,1,1.87,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPWNMLPLNHMFFCC68CA,1,92.74,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSOMLRJOHMFFBC38CA,41,39.48,住家用,鋼筋混凝土加強磚造,65年6月24日,四層,二層
RPSOMLRJOHMFFBC38CA,41,39.48,住商用,鋼筋混凝土加強磚造,65年6月24日,四層,一層 騎樓
RPSOMLRJOHMFFBC38CA,41,39.48,住家用,鋼筋混凝土加強磚造,65年6月24日,四層,三層
RPSOMLRJOHMFFBC38CA,41,39.48,住家用,鋼筋混凝土加強磚造,65年6月24日,四層,四層
RPUNMLSJOHMFFBC58CA,19,190.96,住家用,鋼筋混凝土造,87年4月8日,四層,一層 二層 三層 四層 停車場
RPWNMLSJOHMFFBC78CA,38,90.95,住家用,鋼筋混凝土造,67年12月21日,五層,五層
RPROMLSJOHMFFBC38CA,22,133.58,住家用,鋼筋混凝土造,84年9月2日,五層,四層
RPROMLSJOHMFFBC38CA,22,6.10,共用部份,鋼筋混凝土造,84年9月2日,五層,
RPROMLSJOHMFFBC38CA,22,24.88,共用部份,鋼筋混凝土造,84年9月2日,五層,
RPROMLSJOHMFFBC38CA,22,.45,見其他登記事項,鋼筋混凝土造,84年9月2日,五層,一層
RPOOMLNLNHMFFBC67CA,20,.68,見其他登記事項,鋼筋混凝土造,85年11月19日,五層,一層 二層
RPOOMLNLNHMFFBC67CA,20,21.69,共用部份,鋼筋混凝土造,85年11月19日,五層,
RPOOMLNLNHMFFBC67CA,20,70.68,住家用,鋼筋混凝土造,85年11月19日,五層,一層
RPOOMLNLNHMFFBC67CA,20,.22,共用部份,鋼筋混凝土造,85年11月19日,五層,
RPRNMLLJOHMFFBC57CA,22,128.70,住家用,鋼筋混凝土造,84年9月29日,五層,二層
RPRNMLLJOHMFFBC57CA,22,3.95,共用部份,鋼筋混凝土造,84年9月29日,五層,
RPWNMLNJOHMFFBC28CA,57,74.38,住家用,加強磚造,49年1月1日,二層,一層 二層
RPPOMLNJOHMFFBC67CA,20,46.31,住家用,鋼筋混凝土造,86年2月3日,五層,四層
RPPOMLNJOHMFFBC67CA,20,6.29,共用部份,鋼筋混凝土造,86年2月3日,五層,
