鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1060515,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,14.64,2000,,RPUNMLRKNHMFFBE88CC
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,4.8,商,,,1060512,土地1建物1車位0,二十六層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,127.35000000000001,3,2,2,有,有,有,15000,118,,0.0,0,,RPVNMLRKNHMFFBE98CC
苓雅區,房地(土地+建物),高雄市苓雅區自強三路27巷1~30號,51.0,商,,,1060517,土地1建物1車位0,全,2,透天厝,,加強磚造,0551205,92.84,4,2,3,有,無,無,16000,172,,0.0,0,,RPQNMLSKNHMFFBE58CC
新興區,房地(土地+建物),高雄市新興區中山一路31~60號,176.0,商,,,1060512,土地2建物1車位0,全,4,透天厝,,見使用執照,0510501,638.08,0,0,0,無,無,有,230000,360,,0.0,0,,RPSNMLSKNHMFFBE78CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1060516,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,14.64,2000,,RPTNMLSKNHMFFBE88CC
苓雅區,房地(土地+建物),高雄市苓雅區澄清路74巷1~30號,43.87,住,,,1060502,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0691201,92.15,3,2,2,有,無,有,10000,109,,0.0,0,,RPTOMLSKNHMFFBE98CC
前金區,房地(土地+建物),高雄市前金區中華三路61~90號,582.0,商,,,1060515,土地2建物1車位0,見其它登記事項,2,店面(店鋪),,鋼筋混凝土造,0710202,710.85,0,0,0,無,無,有,230000,324,,0.0,0,,RPTOMLSKNHMFFAE88CC
鼓山區,房地(土地+建物),高雄市鼓山區美術東八街91~120號,13.43,住,,,1060517,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011107,101.86,2,1,1,有,有,有,16000,157,,0.0,0,,RPOPMLSKNHMFFAE48CC
鼓山區,房地(土地+建物),高雄市鼓山區明倫路121~150號,34.92,商,,,1060517,土地1建物1車位0,一層,15,辦公商業大樓,住商用,鋼筋混凝土造,0960131,325.44,0,0,0,無,無,無,130000,399,,0.0,0,,RPQPMLSKNHMFFAE68CC
三民區,房地(土地+建物),高雄市三民區漢口街1~30號,92.0,商,,,1060513,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土造,0650616,72.53,0,0,0,無,無,無,21000,290,,0.0,0,,RPUNMLSKNHMFFDE56CC
三民區,房地(土地+建物),高雄市三民區民禮路31~60號,37.18,住,,,1060502,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0780612,152.73,3,2,2,有,有,有,14000,92,,0.0,0,,RPPPMLSKNHMFFDE88CC
