編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLQJOHMFFBA38CC,45,117.36,商業用,鋼筋混凝土造,61年4月24日,四層,
RPRNMLRJOHMFFBA18CC,4,115.26,住家用,鋼筋混凝土造,102年4月19日,十二層,
RPRNMLRJOHMFFBA18CC,4,40.07,見其他登記事項,鋼筋混凝土造,102年4月19日,十二層,
RPRNMLRJOHMFFBA18CC,4,9.90,見其他登記事項,鋼筋混凝土造,102年4月19日,十二層,
RPQOMLRJOHMFFBA18CC,6,63.30,住家用,鋼筋混凝土造,100年4月18日,十二層,
RPQOMLRJOHMFFBA18CC,6,13.09,見其他登記事項,鋼筋混凝土造,100年4月18日,十二層,
RPQOMLRJOHMFFBA18CC,6,15.51,見其他登記事項,鋼筋混凝土造,100年4月18日,十二層,
RPSOMLRJOHMFFBA38CC,36,98.40,商業用,鋼筋混凝土造,70年3月14日,十二層,
RPSOMLRJOHMFFBA38CC,36,24.02,共有部分,鋼筋混凝土造,70年3月14日,十二層,
RPUOMLRJOHMFFBA58CC,4,95.91,住家用,鋼筋混凝土造,102年1月18日,十三層,
RPUOMLRJOHMFFBA58CC,4,20.59,住家用,鋼筋混凝土造,102年1月18日,十三層,
RPUOMLRJOHMFFBA58CC,4,39.33,見其他登記事項,鋼筋混凝土造,102年1月18日,十三層,
RPUOMLRJOHMFFBA58CC,4,20.36,見其他登記事項,鋼筋混凝土造,102年1月18日,十三層,
RPQNMLRJOHMFFCA18CC,6,98.20,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPQNMLRJOHMFFCA18CC,6,22.80,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPQNMLRJOHMFFCA18CC,6,26.90,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPRNMLRJOHMFFCA28CC,5,117.55,住家用,鋼筋混凝土造,101年3月27日,十五層,
RPRNMLRJOHMFFCA28CC,5,56.84,見其他登記事項,鋼筋混凝土造,101年3月27日,十五層,
RPOOMLRJOHMFFCA08CC,6,28.04,住家用,鋼筋混凝土造,99年12月24日,十四層,
RPOOMLRJOHMFFCA08CC,6,14.72,見其他登記事項,鋼筋混凝土造,99年12月24日,十四層,
RPOOMLRJOHMFFCA08CC,6,2.23,見其他登記事項,鋼筋混凝土造,99年12月24日,十四層,
RPWNMLRJOHMFFEA98CC,33,111.79,住家用,鋼筋混凝土造,73年6月7日,七層,
RPWNMLRJOHMFFEA98CC,33,29.89,共有部分,鋼筋混凝土造,73年6月7日,七層,
RPUNMLRJOHMFFFA88CC,34,97.11,商業用,鋼筋混凝土造,72年1月21日,七層,
RPUNMLRJOHMFFFA88CC,34,15.03,商業用,鋼筋混凝土造,72年1月21日,七層,
RPUNMLRJOHMFFFA88CC,34,18.69,共有部分,鋼筋混凝土造,72年1月21日,七層,
RPXNMLRJOHMFFFA56CC,26,139.10,住家用,鋼筋混凝土造,79年12月19日,二十七層,
RPXNMLRJOHMFFFA56CC,26,37.29,共有部分,鋼筋混凝土造,79年12月19日,二十七層,
RPPNMLSJOHMFFFA48CC,6,48.93,住家用,鋼筋混凝土造,100年3月21日,七層,
RPPNMLSJOHMFFFA48CC,6,26.99,見其他登記事項,鋼筋混凝土造,100年3月21日,七層,
RPPNMLSJOHMFFFA48CC,6,13.87,見其他登記事項,鋼筋混凝土造,100年3月21日,七層,
RPWNMLSJOHMFFFA56CC,,80.85,住家用,鋼筋混凝土造,,六層,
RPQOMLSJOHMFFFA68CC,35,70.45,商業用,鋼筋混凝土造,71年5月19日,十二層,
RPQOMLSJOHMFFFA68CC,35,13.44,,鋼筋混凝土造,71年5月19日,十二層,
RPSOMLSJOHMFFFA88CC,31,126.28,住家用,鋼筋混凝土造,75年5月13日,六層,
RPSOMLSJOHMFFFA88CC,31,10.96,共有部分,鋼筋混凝土造,75年5月13日,六層,
RPQNMLSJOHMFFEA48CC,31,124.76,住家用,鋼筋混凝土造,75年8月12日,十四層,
RPQNMLSJOHMFFEA48CC,31,23.15,共有部分,鋼筋混凝土造,75年8月12日,十四層,
RPUNMLSJOHMFFEA88CC,29,100.56,住家用,鋼筋混凝土造,77年4月19日,五層,
RPUNMLSJOHMFFEA88CC,29,14.78,共有部分,鋼筋混凝土造,77年4月19日,五層,
RPXNMLSJOHMFFEA56CC,9,109.77,住家用,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPXNMLSJOHMFFEA56CC,9,5.02,共有部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPXNMLSJOHMFFEA56CC,9,17.73,共有部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPXNMLSJOHMFFEA56CC,9,29.89,共有部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPXNMLSJOHMFFEA56CC,9,5.23,共有部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPXNMLSJOHMFFEA56CC,9,30.59,共有部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPOOMLSJOHMFFEA38CC,2,116.41,住家用,鋼筋混凝土造,104年8月4日,十四層,
RPOOMLSJOHMFFEA38CC,2,54.15,見其他登記事項,鋼筋混凝土造,104年8月4日,十四層,
RPOOMLSJOHMFFEA38CC,2,37.49,見其他登記事項,鋼筋混凝土造,104年8月4日,十四層,
RPPOMLSJOHMFFCA38DC,39,82.53,商業用,鋼筋混凝土造,67年1月11日,十二層,
RPPOMLSJOHMFFCA38DC,39,19.47,共有部分,鋼筋混凝土造,67年1月11日,十二層,
RPSOMLSJOHMFFCA68DC,33,96.79,住家用,鋼筋混凝土造,73年4月6日,十二層,
RPSOMLSJOHMFFCA68DC,33,29.19,共有部分,鋼筋混凝土造,73年4月6日,十二層,
RPTPMLSJOHMFFCA78CC,18,910.55,見使用執照,鋼筋混凝土造,88年5月28日,七層,
RPUNMLSJOHMFFBA58CC,3,111.69,住家用,鋼筋混凝土造,103年8月5日,十九層,
RPUNMLSJOHMFFBA58CC,3,47.07,見其他登記事項,鋼筋混凝土造,103年8月5日,十九層,
RPUNMLSJOHMFFBA58CC,3,7.07,見其他登記事項,鋼筋混凝土造,103年8月5日,十九層,
RPPOMLSJOHMFFDA38CC,32,118.39,住家用,鋼筋混凝土造,74年3月1日,七層,
RPPOMLSJOHMFFDA38CC,32,5.67,共有部分,鋼筋混凝土造,74年3月1日,七層,
RPQOMLSJOHMFFDA48CC,12,23.19,見其他登記事項,鋼筋混凝土造,94年10月6日,十一層,
RPQOMLSJOHMFFDA48CC,12,8.80,共有部分,鋼筋混凝土造,94年10月6日,十一層,
RPQOMLSJOHMFFDA48CC,12,41.13,共有部分,鋼筋混凝土造,94年10月6日,十一層,
RPTNMLTJOHMFFBA58CC,11,25.81,住家用,鋼筋混凝土造,95年11月15日,十五層,
RPTNMLTJOHMFFBA58CC,11,13.86,共有部分,鋼筋混凝土造,95年11月15日,十五層,
RPTNMLTJOHMFFCA68CC,34,92.03,住家用,鋼筋混凝土造,71年12月20日,七層,
RPROMLTJOHMFFCA68DC,24,124.85,商業用,鋼筋混凝土造,82年3月9日,十一層,
RPROMLTJOHMFFCA68DC,24,30.36,共有部分,鋼筋混凝土造,82年3月9日,十一層,
RPROMLTJOHMFFCA68DC,24,23.63,共有部分,鋼筋混凝土造,82年3月9日,十一層,
RPTNMLTJOHMFFAA48CC,,410.59,見使用執照,鋼筋混凝土造,,十二層,
RPVOMLTJOHMFFAA78CC,38,68.35,見其他登記事項,加強磚造,68年11月17日,二層,
RPUNMLTJOHMFFFA56DC,40,63.42,住家用,鋼筋混凝土造,65年12月30日,十二層,
RPUNMLTJOHMFFFA56DC,45,10.24,共有部分,鋼筋混凝土造,60年12月30日,十二層,
RPUNMLTJOHMFFFA56DC,,.00,共有部分,鋼筋混凝土造,,十二層,
RPPNMLTJOHMFFEA48CC,31,211.76,住家用,鋼筋混凝土造,75年9月2日,七層,
RPPNMLTJOHMFFEA48CC,31,32.77,共有部分,鋼筋混凝土造,75年9月2日,七層,
RPQNMLTJOHMFFEA58CC,31,114.47,住家用,鋼筋混凝土造,75年3月21日,五層,
RPWNMLTJOHMFFEA56CC,10,121.73,住家用,鋼筋混凝土造,96年5月21日,十五層,
RPWNMLTJOHMFFEA56CC,10,11.49,共有部分,鋼筋混凝土造,96年5月21日,十五層,
RPWNMLTJOHMFFEA56CC,10,61.60,共有部分,鋼筋混凝土造,96年5月21日,十五層,
RPXNMLTJOHMFFEA66CC,47,263.22,住家用,加強磚造,59年4月14日,二層,
RPPPMLTJOHMFFEA68CC,11,50.80,見其他登記事項,鋼筋混凝土造,95年6月30日,十五層,
RPPPMLTJOHMFFEA68CC,11,11.43,共有部分,鋼筋混凝土造,95年6月30日,十五層,
RPPPMLTJOHMFFEA68CC,11,2.16,共有部分,鋼筋混凝土造,95年6月30日,十五層,
RPOOMLMKOHMFFEA97DC,35,123.18,住家用,鋼筋混凝土造,71年9月20日,五層,
RPRNMLMKOHMFFAA67CC,46,124.28,住家用,鋼筋混凝土造,60年2月15日,四層,
RPXNMLMKOHMFFAA28CC,48,45.05,住家用,加強磚造,58年8月30日,三層,
RPOOMLMKOHMFFAA57DC,7,113.45,住家用,見其他登記事項,99年3月1日,十八層,
RPOOMLMKOHMFFAA57DC,7,2.96,見其他登記事項,見其他登記事項,99年3月1日,十八層,
RPOOMLMKOHMFFAA57DC,7,58.37,見其他登記事項,見其他登記事項,99年3月1日,十八層,
RPVNMLMKOHMFFCA28CC,1,54.00,住家用,鋼骨鋼筋混凝土造,105年3月22日,十九層,
RPVNMLMKOHMFFCA28CC,1,8.26,見其他登記事項,鋼骨鋼筋混凝土造,105年3月22日,十九層,
RPVNMLMKOHMFFCA28CC,1,3.84,見其他登記事項,鋼骨鋼筋混凝土造,105年3月22日,十九層,
RPVNMLMKOHMFFCA28CC,1,10.86,見其他登記事項,鋼骨鋼筋混凝土造,105年3月22日,十九層,
RPPOMLMKOHMFFBA67CC,1,36.98,住家用,鋼筋混凝土造,104年12月14日,十五層,
RPPOMLMKOHMFFBA67CC,1,7.99,見其他登記事項,鋼筋混凝土造,104年12月14日,十五層,
RPPOMLMKOHMFFBA67CC,1,12.30,見其他登記事項,鋼筋混凝土造,104年12月14日,十五層,
RPQOMLMKOHMFFBA77CC,2,128.63,住家用,鋼筋混凝土造,104年5月22日,十三層,
RPQOMLMKOHMFFBA77CC,2,33.71,見其他登記事項,鋼筋混凝土造,104年5月22日,十三層,
RPQOMLMKOHMFFBA77CC,2,17.74,見其他登記事項,鋼筋混凝土造,104年5月22日,十三層,
RPOOMLMKOHMFFDA77CC,7,101.75,住家用,鋼筋混凝土造,99年4月9日,十二層,
RPOOMLMKOHMFFDA77CC,7,42.72,見其他登記事項,鋼筋混凝土造,99年4月9日,十二層,
RPOOMLMKOHMFFDA77CC,7,33.67,見其他登記事項,鋼筋混凝土造,99年4月9日,十二層,
RPXNMLNKOHMFFDA68CC,3,98.20,住家用,鋼筋混凝土造,103年2月24日,九層,
RPXNMLNKOHMFFDA68CC,3,44.14,見其他登記事項,鋼筋混凝土造,103年2月24日,九層,
RPXNMLNKOHMFFDA68CC,3,38.28,見其他登記事項,鋼筋混凝土造,103年2月24日,九層,
RPVOMLNKOHMFFDA58CC,35,276.63,見使用執照,鋼筋混凝土造,71年10月18日,十二層,
RPVOMLNKOHMFFDA58CC,35,130.42,共有部分,鋼筋混凝土造,71年10月18日,十二層,
RPSPMLNKOHMFFBA18CC,16,153.84,見使用執照,鋼筋混凝土造,90年5月4日,十四層,
RPSPMLNKOHMFFBA18CC,16,32.11,共有部分,鋼筋混凝土造,90年5月4日,十四層,
RPSPMLNKOHMFFBA18CC,16,34.04,共有部分,鋼筋混凝土造,90年5月4日,十四層,
RPSPMLNKOHMFFBA18CC,16,3.38,共有部分,鋼筋混凝土造,90年5月4日,十四層,
RPTOMLNKOHMFFCA28CC,32,26.77,住家用,鋼筋混凝土造,74年7月26日,五層,
RPXOMLNKOHMFFCA68CC,9,151.84,住家用,鋼筋混凝土造,97年10月8日,十一層,
RPXOMLNKOHMFFCA68CC,9,55.97,共有部分,鋼筋混凝土造,97年10月8日,十一層,
RPSQMLNKOHMFFCA38CC,20,297.94,見使用執照,鋼筋混凝土造,86年11月14日,八層,
RPSQMLNKOHMFFCA38CC,20,102.04,共有部分,鋼筋混凝土造,86年11月14日,八層,
RPSQMLNKOHMFFCA38CC,20,32.88,共有部分,鋼筋混凝土造,86年11月14日,八層,
RPSQMLNKOHMFFCA38CC,20,32.88,共有部分,鋼筋混凝土造,86年11月14日,八層,
RPTNMLNKOHMFFAA97CC,9,21.44,共有部分,鋼筋混凝土造,97年2月14日,十四層,
RPTNMLNKOHMFFAA97CC,9,17.31,共有部分,鋼筋混凝土造,97年2月14日,十四層,
RPTNMLNKOHMFFAA97CC,9,17.01,共有部分,鋼筋混凝土造,97年2月14日,十四層,
RPTNMLNKOHMFFAA97CC,9,130.53,見其他登記事項,鋼筋混凝土造,97年2月14日,十四層,
RPQOMLOKOHMFFAA87CC,1,166.42,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,十九層,
RPQOMLOKOHMFFAA87CC,1,34.95,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,十九層,
RPQOMLOKOHMFFAA87CC,1,34.42,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,十九層,
RPQOMLOKOHMFFAA87CC,1,23.37,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,十九層,
RPWOMLOKOHMFFAA48CC,29,280.67,見使用執照,鋼筋混凝土造,77年11月10日,十層,
RPWOMLOKOHMFFAA48CC,29,40.11,共有部分,鋼筋混凝土造,77年11月10日,十層,
RPPOMLOKOHMFFBA97DC,,782.00,見其他登記事項,鋼筋混凝土造,105年11月30日,七層,
RPTNMLOKOHMFFFA58CC,,103.61,住家用,鋼筋混凝土造,,十四層,
RPTNMLOKOHMFFFA58CC,,22.05,共有部分,鋼筋混凝土造,,十四層,
RPPOMLOKOHMFFFA28CC,33,100.61,住家用,鋼筋混凝土造,73年7月18日,七層,
RPPOMLOKOHMFFFA28CC,33,6.57,住家用,鋼筋混凝土造,73年7月18日,七層,
RPVNMLOKOHMFFCA48CC,19,236.20,工業用,鋼筋混凝土造,87年9月17日,十層,
RPVNMLOKOHMFFCA48CC,19,222.58,工業用,鋼筋混凝土造,87年9月17日,十層,
RPWNMLOKOHMFFCA58CC,19,222.58,工業用,鋼筋混凝土造,87年9月17日,十層,
RPWNMLOKOHMFFCA58CC,19,222.58,工業用,鋼筋混凝土造,87年9月17日,十層,
RPSOMLOKOHMFFCA28CC,45,86.73,住家用,鋼筋混凝土造,61年11月3日,四層,
RPWOMLOKOHMFFCA68CC,18,13.79,商業用,鋼筋混凝土造,88年4月27日,十四層,
RPWOMLOKOHMFFCA68CC,18,10.39,共有部分,鋼筋混凝土造,88年4月27日,十四層,
RPWRMLOKOHMFFCA98CC,37,83.21,見使用執照,鋼筋混凝土造,69年8月13日,四層,
RPSOMLOKOHMFFDA38CC,21,160.06,住家用,鋼筋混凝土造,85年9月3日,十三層,
RPSOMLOKOHMFFDA38CC,21,51.06,見使用執照,鋼筋混凝土造,85年9月3日,十三層,
RPSOMLOKOHMFFDA38CC,21,40.92,見使用執照,鋼筋混凝土造,85年9月3日,十三層,
RPSOMLOKOHMFFDA38CC,21,14.51,共有部分,鋼筋混凝土造,85年9月3日,十三層,
RPOPMLOKOHMFFDA08CC,6,113.98,住家用,鋼筋混凝土造,99年12月1日,十三層,
RPRNMLPKOHMFFCA18CC,10,996.72,見其他登記事項,鋼筋混凝土造,96年6月27日,九層,
RPRNMLPKOHMFFCA18CC,10,135.15,共有部分,鋼筋混凝土造,96年6月27日,九層,
RPRNMLPKOHMFFCA18CC,10,580.70,共有部分,鋼筋混凝土造,96年6月27日,九層,
RPVOMLPKOHMFFCA68CC,21,130.11,商業用,鋼筋混凝土造,84年12月15日,十一層,
RPRPMLPKOHMFFCA38CC,39,82.53,商業用,鋼筋混凝土造,67年1月11日,十二層,
RPRPMLPKOHMFFCA38CC,39,19.47,共有部分,鋼筋混凝土造,67年1月11日,十二層,
RPTPMLPKOHMFFCA58CC,6,55.70,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPTPMLPKOHMFFCA58CC,6,13.04,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPTPMLPKOHMFFCA58CC,6,20.98,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPSNMLPKOHMFFFA58CC,46,73.17,,鋼筋混凝土造,60年2月22日,七層,
RPSNMLPKOHMFFFA58CC,46,88.08,住家用,鋼筋混凝土造,60年2月22日,七層,
RPXNMLPKOHMFFDA98DC,21,89.07,見使用執照,鋼骨混凝土造,84年12月12日,二十一層,
RPXNMLPKOHMFFDA98DC,21,48.08,共有部分,鋼骨混凝土造,84年12月12日,二十一層,
RPQOMLQKOHMFFDA48DC,33,502.52,商業用,鋼筋混凝土造,72年12月30日,七層,
RPQOMLQKOHMFFDA48DC,33,46.67,共有部分,鋼筋混凝土造,72年12月30日,七層,
RPROMLQKOHMFFFA68CC,9,51.22,住家用,鋼筋混凝土造,97年7月1日,九層,
RPROMLQKOHMFFFA68CC,,28.93,,加強磚造,,四層,
RPROMLQKOHMFFFA68CC,9,47.67,住家用,鋼筋混凝土造,97年7月1日,九層,
RPROMLQKOHMFFFA68CC,9,26.96,共有部分,鋼筋混凝土造,97年7月1日,九層,
RPXOMLQKOHMFFFA66CC,,84.84,,加強磚造,,四層,
RPQPMLQKOHMFFCA38CC,8,92.94,住家用,鋼筋混凝土造,97年11月28日,十四層,
RPQPMLQKOHMFFCA38CC,8,29.13,共有部分,鋼筋混凝土造,97年11月28日,十四層,
RPQPMLQKOHMFFCA38CC,8,25.78,共有部分,鋼筋混凝土造,97年11月28日,十四層,
RPQPMLQKOHMFFCA38CC,8,17.07,共有部分,鋼筋混凝土造,97年11月28日,十四層,
RPSPMLQKOHMFFCA58CC,5,52.09,住家用,鋼筋混凝土造,101年1月9日,九層,
RPSPMLQKOHMFFCA58CC,5,17.42,見其他登記事項,鋼筋混凝土造,101年1月9日,九層,
RPSPMLQKOHMFFCA58CC,5,8.59,見其他登記事項,鋼筋混凝土造,101年1月9日,九層,
RPWPMLQKOHMFFCA98CC,17,161.50,工業用,鋼筋混凝土造,89年8月5日,八層,
RPWPMLQKOHMFFCA98CC,17,55.67,共有部分,鋼筋混凝土造,89年8月5日,八層,
RPWPMLQKOHMFFCA98CC,17,8.37,共有部分,鋼筋混凝土造,89年8月5日,八層,
